Asset_A;Asset_B;P-Value
MSCI;STZ;0.0032840086896276277
CINF;NDAQ;0.0032952592042097156
BKR;PYPL;0.003296523162438337
APTV;NEE;0.003298915432301588
L;NOC;0.0033142890451950007
HSY;LOW;0.0033242165984685387
FRT;SYF;0.0033242367814474622
DHI;L;0.0033375350051973937
HST;L;0.003343734755725205
L;TXN;0.003348909154991519
INVH;TSN;0.0033573957040940235
L;PEG;0.003362317125885433
AEP;CCI;0.0033642895450219277
BKR;GDDY;0.0033651476694519116
DD;NOC;0.003366900938047115
AVY;L;0.0033712313934634247
EQT;SBUX;0.003384823657183783
ALGN;BLK;0.0033980887936746447
SPG;VTR;0.0034017403494723333
DOV;TXT;0.0034069347769135998
EIX;GEN;0.0034154886286042207
C;V;0.0034188450343792262
APTV;STZ;0.0034232898862352435
AJG;L;0.0034259385531444225
CTAS;EXR;0.0034288487898622554
ADP;DOV;0.00343170936096457
HSY;MKC;0.0034318076644992727
DPZ;MCK;0.0034381277061590484
CRM;PYPL;0.0034395849781129716
CNC;ICE;0.003443667715806336
AES;EOG;0.003449167099760286
AME;STZ;0.0034522225430784915
AVGO;NEE;0.0034566825410914325
ACGL;GIS;0.003464450557442703
ECL;SLB;0.0034648579946988866
ED;PAYC;0.0034714886752758227
CME;TDY;0.0034755393710348657
ADP;ON;0.003491215944107037
GE;MSFT;0.0035018542035762305
AWK;EPAM;0.003504642698227683
KMI;SYK;0.0035053836683997626
AES;AMP;0.0035101389358660508
L;MS;0.003513533865290724
ARE;MPC;0.00353276660226828
TYL;UDR;0.0035457936620598143
ADBE;WEC;0.0035484478247722185
DECK;LVS;0.0035501216248595684
EXR;SWK;0.0035538935682287035
AES;CSCO;0.0035574991356798298
BDX;L;0.003559537883190348
ADSK;ZBRA;0.003561570584801184
MTD;WTW;0.0035733541892131655
MCHP;ZBRA;0.0035736300887693364
CRM;HST;0.003575699497364623
DXCM;LRCX;0.0035835481687837884
NFLX;PLD;0.0035862803394937394
AES;FANG;0.0035917476249725886
EPAM;HD;0.0036172086567589114
CSGP;KO;0.00361768127991205
CMI;KKR;0.0036232679458899214
ATO;PAYC;0.003636307285175915
C;PYPL;0.003649070416267513
APH;MA;0.003653959081289817
HAS;MDT;0.003655614997515986
CSX;TRV;0.0036591418912208643
NCLH;VRTX;0.0036626601096708335
FIS;LMT;0.003663059969308557
ABT;BRO;0.003670158395117733
BRO;DOV;0.003670947161484597
BDX;MPC;0.0036778570523328595
DXCM;SWK;0.003681196486049077
EL;UNH;0.0036962049722095223
FTNT;MPC;0.003699174854514048
HST;SMCI;0.003703728060605123
CNC;SPGI;0.0037077969087863497
ACN;IR;0.003729388514876796
CSX;INCY;0.0037304459062850077
SW;TECH;0.0037307032136510523
AES;UAL;0.0037312350160657723
MHK;SBAC;0.0037328233868810924
INVH;ON;0.0037335879635260897
AES;EXPD;0.003739214142449712
CSX;PSX;0.003745742997663464
AES;NTAP;0.0037541929958319164
AES;EXR;0.0037718772600253726
CSX;WMB;0.0037752426897282644
INVH;MSFT;0.003782760406890232
AES;HBAN;0.003784089242372284
ANET;INVH;0.0037946297074652378
FRT;PM;0.003796646208600636
KMI;PAYC;0.0038141967796293877
BDX;EXC;0.0038155034643620324
GEN;HRL;0.0038209827432263872
ARE;JKHY;0.0038277852807789346
MNST;PGR;0.0038301002519003573
DLR;DXCM;0.00383223458474361
BDX;NVR;0.00383678911738415
CSX;LIN;0.0038368870291664494
HUM;GBPUSD=X;0.003837790417429816
HST;MAR;0.0038378926870134274
APTV;FIS;0.0038524953262368666
AES;RJF;0.0038563610505393305
FRT;MAA;0.003858881630670791
CCL;HUM;0.003866398871339094
EMN;ROK;0.0038830964983358543
DLR;KMI;0.003890606877713615
C;CI;0.003895917984807508
CNC;NVR;0.003913896005420324
BDX;MHK;0.003915247152855583
CSX;ZTS;0.00391842500653808
ARE;DE;0.003920937126208614
EPAM;WMT;0.003924377463840878
BMY;DD;0.003932894975076705
LEN;PFG;0.003935490010080072
RCL;ZBRA;0.003965276084837163
ARE;BLK;0.003967670860428872
AES;J;0.003969510937434546
ROL;TECH;0.003970692099138396
CI;CNC;0.00397235807182078
ANET;SWK;0.003972760675797317
AES;MPC;0.0039755561738526735
INVH;NVR;0.003975935543521422
AES;PEG;0.003985621059582597
DHI;MPC;0.003989090011828889
CMI;EMN;0.003999612911091317
AES;AXP;0.004001390314407061
AES;GRMN;0.004003338996088842
AVY;PSX;0.004011764107726401
BX;TRGP;0.004016857523291749
DXCM;ROP;0.0040193251639253046
INVH;TXN;0.004024047511839796
BKR;EXC;0.0040263212446053865
BWA;DXCM;0.004027974584004878
DXCM;SHW;0.00403838716730129
FRT;JBL;0.004049845306919069
IEX;TRMB;0.0040597184555601325
AFL;VRSN;0.004064833688697577
BR;MSFT;0.0040723760895099185
AME;SBAC;0.004079582346826986
HST;LHX;0.004083225900219147
AMAT;FTV;0.004088952035852861
EQIX;TDG;0.0040941748960054945
APTV;TECH;0.004094225004572559
KKR;PYPL;0.004109009630954761
AEP;FDX;0.00411108072089079
BKR;NVR;0.004113244289689016
FICO;PFG;0.0041265022790954705
LNT;SBAC;0.004138871578055467
AES;PSX;0.00414346381631842
ULTA;VST;0.004147449701863795
AES;STLD;0.00416006302855905
KKR;MNST;0.004169051792861796
RJF;TROW;0.004172357079688856
AON;HUM;0.004176177942339385
AES;CBRE;0.004183801654859781
AES;PCG;0.004185467627754218
PAYC;RVTY;0.004190787470487941
CSX;TDG;0.004197818870588253
CBRE;LEN;0.004207446036773749
EXR;TER;0.004216237967051545
CRM;TECH;0.004219839592999933
